,,BusStopCode,RoadName,Description,Latitude,Longitude,UpDown,LeftRight,HDB_Bus_Distance,Postal
538,145,84301,Bedok Nth Ave 1,Blk 41,1.327821402,103.9265663,20,-7,197.5522435,461040
,188,84549,Chai Chee St,Opp Blk 42,1.327201689,103.9251209,20,-7,198.9379361,461040
47946,49,83111,Jln Eunos,Blk 17,1.32346854,103.9052731,16,-7,105.7559692,400018
47948,49,83111,Jln Eunos,Blk 17,1.32346854,103.9052731,16,-7,105.7559692,400018
85499,168,75269,Tampines Ave 6,Opp Blks 710/713,1.359172864,103.9381421,23,0,88.61933913,522524
,299,76511,Tampines Concourse,The Tampines Trilliant,1.359138,103.939389,23,0,56.6795856,522524
,300,76519,Tampines Concourse,BET BLKS 524B/523D,1.359206245,103.9392187,23,0,43.86635013,522524
52348,294,76451,Tampines St 33,BLK 324,1.35220341,103.9592861,27,-2,52.16547,520325
,295,76459,Tampines St 33,Blk 323,1.352080031,103.9587319,27,-2,72.52797784,520325
62265,288,76421,Tampines St 32,Opp Blk 331,1.353841243,103.9598719,27,-1,54.62566244,520331
,289,76429,Tampines St 32,Blk 331,1.353692221,103.959589,27,-1,43.38677317,520331
,290,76431,Tampines St 33,BLK 333,1.353726389,103.9612131,27,-1,163.3604431,520331
269,136,84251,Bedok Nth Ave 4,Blk 99,1.333468321,103.938838,23,-5,151.6720678,460101
,137,84259,Bedok Nth Ave 4,Blk 88,1.333288076,103.9391068,23,-5,186.7019013,460101
80733,263,76261,Tampines St 45,Blk 489B,1.361640056,103.9574003,26,0,196.8016694,520488
,275,76341,Tampines Ave 9,Blk 464,1.359763051,103.9553501,26,0,120.7178304,520488
,276,76349,Tampines Ave 9,Dunman Sec Sch,1.360385137,103.9555657,26,0,87.39930005,520488
45143,277,76351,Tampines Ave 9,Blk 484,1.362138224,103.9530913,26,0,109.0477871,520492
56840,326,67161,Sengkang East Ave,Opp Blk 101,1.382125,103.8992683,15,4,181.0546984,541267
,327,67169,Sengkang East Ave,Blk 101,1.382534701,103.8992222,15,4,157.8774174,541267
